"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Theta [deg]","dB(AxialRatioValue) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,153,2.33596264332028
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,154,2.46350397237361
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,155,2.59614522565531
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,156,2.7337676183162
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,157,2.87623297275497
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,158,3.02338295603058
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,159,3.17503805519813
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,160,3.33099639111924
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,161,3.49103247774843
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,162,3.65489603827385
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,163,3.82231099321935
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,164,3.99297474008555
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,165,4.16655785066021
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,166,4.34270432201674
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,167,4.52103253155204
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,168,4.70113706605663
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,169,4.88259162024927
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,170,5.06495319136015
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,171,5.24776783230354
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,172,5.43057826467893
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,173,5.61293369065735
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,174,5.79440217407423
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,175,5.97458597750363
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,176,6.15314023233901
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,177,6.32979526800088
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,178,6.50438281567397
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,179,6.67686610957033
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,180,6.84737361102572
