Phi[deg],Theta[deg],re(rEPhi)[mV]
110,-179,2211.8
111,-179,2272.72
112,-179,2332.93
113,-179,2392.4
114,-179,2451.11
115,-179,2509.06
116,-179,2566.22
117,-179,2622.58
118,-179,2678.12
119,-179,2732.82
120,-179,2786.67
121,-179,2839.66
122,-179,2891.77
123,-179,2942.98
124,-179,2993.29
125,-179,3042.67
126,-179,3091.11
127,-179,3138.61
128,-179,3185.14
129,-179,3230.7
130,-179,3275.27
131,-179,3318.83
132,-179,3361.39
133,-179,3402.93
134,-179,3443.43
135,-179,3482.89
136,-179,3521.29
137,-179,3558.63
138,-179,3594.9
139,-179,3630.08
140,-179,3664.17
141,-179,3697.16
142,-179,3729.04
143,-179,3759.81
144,-179,3789.45
145,-179,3817.96
146,-179,3845.32
147,-179,3871.55
148,-179,3896.62
149,-179,3920.54
150,-179,3943.29
151,-179,3964.88
152,-179,3985.29
153,-179,4004.53
154,-179,4022.59
155,-179,4039.46
156,-179,4055.14
157,-179,4069.64
158,-179,4082.94
159,-179,4095.04
160,-179,4105.94
161,-179,4115.65
162,-179,4124.15
163,-179,4131.45
164,-179,4137.55
165,-179,4142.45
166,-179,4146.14
167,-179,4148.63
168,-179,4149.91
169,-179,4150
170,-179,4148.88
171,-179,4146.57
172,-179,4143.06
173,-179,4138.35
174,-179,4132.46
175,-179,4125.37
176,-179,4117.1
177,-179,4107.64
178,-179,4097.01
179,-179,4085.2
180,-179,4072.23
-180,-178,4086.7
-179,-178,4072.08
-178,-178,4056.37
-177,-178,4039.56
-176,-178,4021.67
-175,-178,4002.7
-174,-178,3982.67
-173,-178,3961.57
-172,-178,3939.41
-171,-178,3916.21
-170,-178,3891.97
-169,-178,3866.69
-168,-178,3840.39
-167,-178,3813.08
-166,-178,3784.76
-165,-178,3755.44
-164,-178,3725.13
-163,-178,3693.84
-162,-178,3661.59
-161,-178,3628.37
-160,-178,3594.19
-159,-178,3559.08
-158,-178,3523.04
-157,-178,3486.07
-156,-178,3448.19
-155,-178,3409.42
-154,-178,3369.75
-153,-178,3329.2
-152,-178,3287.79
-151,-178,3245.51
-150,-178,3202.4
-149,-178,3158.44
-148,-178,3113.66
-147,-178,3068.08
-146,-178,3021.69
-145,-178,2974.51
-144,-178,2926.56
-143,-178,2877.84
-142,-178,2828.37
-141,-178,2778.16
-140,-178,2727.22
-139,-178,2675.57
-138,-178,2623.22
-137,-178,2570.17
-136,-178,2516.45
-135,-178,2462.07
-134,-178,2407.04
-133,-178,2351.37
-132,-178,2295.07
-131,-178,2238.17
-130,-178,2180.67
-129,-178,2122.58
-128,-178,2063.93
-127,-178,2004.72
-126,-178,1944.97
-125,-178,1884.7
-124,-178,1823.91
-123,-178,1762.62
-122,-178,1700.85
-121,-178,1638.61
-120,-178,1575.91
-119,-178,1512.77
-118,-178,1449.21
-117,-178,1385.24
-116,-178,1320.87
-115,-178,1256.13
-114,-178,1191.02
-113,-178,1125.56
-112,-178,1059.77
-111,-178,993.665
-110,-178,927.257
-109,-178,860.564
