"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,34,1.45909723814845,-31.7390497454702
1.57542,90,35,1.52176364658056,-31.2637206364193
1.57542,90,36,1.58819607268123,-30.794268852151
1.57542,90,37,1.65889736024006,-30.3334430398942
1.57542,90,38,1.73435442570334,-29.8838409250134
1.57542,90,39,1.81502893869719,-29.4478248089852
1.57542,90,40,1.90134757585046,-29.0274739408491
1.57542,90,41,1.99369215944393,-28.6245662644133
1.57542,90,42,2.09239003930155,-28.2405816087722
1.57542,90,43,2.19770510530608,-27.8767191594553
1.57542,90,44,2.30982982357164,-27.5339233858578
1.57542,90,45,2.42887866801887,-27.2129140638569
1.57542,90,46,2.55488326982378,-26.9142173654014
1.57542,90,47,2.68778953196639,-26.6381960768422
1.57542,90,48,2.8274568600239,-26.3850778328243
1.57542,90,49,2.97365955122547,-26.1549808385059
1.57542,90,50,3.12609027112341,-25.9479369446506
1.57542,90,51,3.28436544102357,-25.7639121852361
1.57542,90,52,3.44803226866912,-25.6028250275901
1.57542,90,53,3.61657708666091,-25.4645626543794
1.57542,90,54,3.78943462194365,-25.3489956204043
1.57542,90,55,3.96599780645941,-25.2559912233725
1.57542,90,56,4.14562775187565,-25.1854259094069
1.57542,90,57,4.32766354588341,-25.1371970097373
1.57542,90,58,4.51143157818382,-25.1112340808206
1.57542,90,59,4.69625416459827,-25.1075101002558
1.57542,90,60,4.88145730165315,-25.126052758495
1.57542,90,61,5.06637744626452,-25.1669560842521
1.57542,90,62,5.2503672717757,-25.2303926523753
1.57542,90,63,5.43280039993553,-25.3166266498893
1.57542,90,64,5.61307514709535,-25.4260281227519
1.57542,90,65,5.79061735168956,-25.5590887976876
1.57542,90,66,5.96488236951753,-25.7164399771879
1.57542,90,67,6.13535633457724,-25.8988731511224
1.57542,90,68,6.30155678762254,-26.1073641693254
1.57542,90,69,6.46303277372165,-26.3431020963188
1.57542,90,70,6.61936450532124,-26.6075242521178
1.57542,90,71,6.77016267994452,-26.9023594772037
1.57542,90,72,6.91506753274821,-27.2296824146224
1.57542,90,73,7.05374769458246,-27.5919826857464
1.57542,90,74,7.18589891657861,-27.9922544195269
1.57542,90,75,7.31124271308492,-28.434113954393
1.57542,90,76,7.42952496627049,-28.921957123789
1.57542,90,77,7.54051452809168,-29.4611731332708
1.57542,90,78,7.64400184863284,-30.0584409824935
1.57542,90,79,7.73979765409825,-30.7221490847961
1.57542,90,80,7.82773169289979,-31.4630036372371
1.57542,90,81,7.90765156428292,-32.2949348975413
1.57542,90,82,7.97942164067253,-33.2364896557065
1.57542,90,83,8.04292209230614,-34.3130471734848
1.57542,90,84,8.0980480206602,-35.5604858295895
1.57542,90,85,8.14470870557588,-37.031500220719
1.57542,90,86,8.18282696977223,-38.8068275254756
1.57542,90,87,8.21233866352213,-41.0146715748454
1.57542,90,88,8.23319227159349,-43.8517282404926
1.57542,90,89,8.24534864406795,-47.4431880129978
1.57542,90,90,8.24878085228927,-50.0926958912005
1.57542,90,91,8.24347417091831,-47.8247193933373
1.57542,90,92,8.22942618684039,-44.2033229859121
1.57542,90,93,8.20664703544427,-41.311562517025
1.57542,90,94,8.17515976453367,-39.0704273161664
